regulation_date 	 location_id 	 regulation
1/1/2014	 3427 South 	" non-trawl, open access, minor shelf rockfish including shortbelly, widow, yellowtail,  and chilipepper, 750 lbs per 2 months"
1/1/2014	 4010 North 	" non-trawl, limited entry, minor shelf rockfish including shortbelly, widow, and yellowtail rockfish, bocaccio, chilipepper, and cowcod, 200 lbs per month"
1/1/2014	 4010 North 	" non-trawl, open access, minor shelf rockfish including shortbelly, widow, yellowtail, bocaccio, chilipepper rockfish, and cowcod, 200 lbs per month"
3/1/2014	 3427 South 	" non-trawl, limited entry, minor shelf rockfish including shortbelly, widow, and yellowtail rockfish, closed"
3/1/2014	 3427 South 	" non-trawl, open access, minor shelf rockfish including shortbelly, widow, yellowtail,  and chilipepper, closed"
5/1/2014	 3427 South 	" non-trawl, limited entry, minor shelf rockfish including shortbelly, widow, and yellowtail rockfish, 3000 lbs per 2 months"
5/1/2014	 3427 South 	" non-trawl, open access, minor shelf rockfish including shortbelly, widow, yellowtail,  and chilipepper, 750 lbs per 2 months"
7/1/2014	 3427 South 	" non-trawl, limited entry, minor shelf rockfish including shortbelly, widow, and yellowtail rockfish, 4000 lbs per 2 months"
7/1/2014	 3427 South 	" non-trawl, open access, minor shelf rockfish including shortbelly, widow, yellowtail,  and chilipepper, 1000 lbs per 2 months"
1/1/2015	 3427 South 	" non-trawl, limited entry, minor shelf rockfish including shortbelly, widow, and yellowtail rockfish, 4000 lbs per 2 months"
1/1/2015	 3427 South 	" non-trawl, open access, minor shelf rockfish including shortbelly, widow, yellowtail,  and chilipepper, 1500 lbs per 2 months"
1/1/2015	 4010 North 	" non-trawl, limited entry, minor shelf rockfish including shortbelly, widow, and yellowtail rockfish, bocaccio, chilipepper, and cowcod, 200 lbs per month"
1/1/2015	 4010 North 	" non-trawl, open access, minor shelf rockfish including shortbelly, widow, yellowtail, bocaccio, chilipepper rockfish, and cowcod, 200 lbs per month"
3/1/2015	 3427 South 	" non-trawl, limited entry, minor shelf rockfish including shortbelly, widow, and yellowtail rockfish, closed"
3/1/2015	 3427 South 	" non-trawl, open access, minor shelf rockfish including shortbelly, widow, yellowtail,  and chilipepper, closed"
5/1/2015	 3427 South 	" non-trawl, limited entry, minor shelf rockfish including shortbelly, widow, and yellowtail rockfish, 4000 lbs per 2 months"
5/1/2015	 3427 South 	" non-trawl, open access, minor shelf rockfish including shortbelly, widow, yellowtail,  and chilipepper, 1500 lbs per 2 months"
1/1/2016	 3427 South 	" non-trawl, limited entry, minor shelf rockfish including shortbelly, widow, and yellowtail rockfish, 4000 lbs per 2 months"
1/1/2016	 3427 South 	" non-trawl, open access, minor shelf rockfish including shortbelly, widow, yellowtail,  and chilipepper, 1500 lbs per 2 months"
1/1/2016	 4010 North 	" non-trawl, limited entry, minor shelf rockfish including shortbelly, widow, and yellowtail rockfish, bocaccio, chilipepper, and cowcod, 200 lbs per month"
1/1/2016	 4010 North 	" non-trawl, open access, minor shelf rockfish including shortbelly, widow, yellowtail, bocaccio, chilipepper rockfish, and cowcod, 200 lbs per month"
3/1/2016	 3427 South 	" non-trawl, limited entry, minor shelf rockfish including shortbelly, widow, and yellowtail rockfish, closed"
3/1/2016	 3427 South 	" non-trawl, open access, minor shelf rockfish including shortbelly, widow, yellowtail,  and chilipepper, closed"
5/1/2016	 3427 South 	" non-trawl, limited entry, minor shelf rockfish including shortbelly, widow, and yellowtail rockfish, 4000 lbs per 2 months"
5/1/2016	 3427 South 	" non-trawl, open access, minor shelf rockfish including shortbelly, widow, yellowtail,  and chilipepper, 1500 lbs per 2 months"
